cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
148,ISSUE,0,2,FFMA,0,1,2,4,""
149,ISSUE,0,3,FFMA,0,1,2,4,""
150,ISSUE,0,4,FFMA,0,1,2,4,""
151,ISSUE,0,5,FFMA,0,1,2,4,""
152,ISSUE,0,6,FFMA,0,1,2,4,""
153,ISSUE,0,7,FFMA,0,1,2,4,""
153,COMPLETE,0,5,ALU,0,-1,-1,0,""
154,ISSUE,0,2,LD,1,3,None,4,""
154,COMPLETE,0,6,ALU,0,-1,-1,0,""
155,ISSUE,0,3,LD,1,3,None,4,""
155,COMPLETE,0,7,ALU,0,-1,-1,0,""
156,ISSUE,0,4,LD,1,3,None,4,""
157,ISSUE,0,5,LD,1,3,None,4,""
157,COMPLETE,0,2,ALU,0,-1,-1,0,""
158,ISSUE,0,6,LD,1,3,None,4,""
158,COMPLETE,0,3,ALU,0,-1,-1,0,""
159,ISSUE,0,7,LD,1,3,None,4,""
159,COMPLETE,0,4,ALU,0,-1,-1,0,""
160,ISSUE,0,2,LD,2,4,None,4,""
161,ISSUE,0,3,LD,2,4,None,4,""
162,ISSUE,0,4,LD,2,4,None,4,""
163,ISSUE,0,5,LD,2,4,None,4,""
164,ISSUE,0,6,LD,2,4,None,4,""
165,ISSUE,0,7,LD,2,4,None,4,""
166,ISSUE,0,2,FFMA,0,1,2,4,""
167,ISSUE,0,3,FFMA,0,1,2,4,""
168,ISSUE,0,4,FFMA,0,1,2,4,""
169,ISSUE,0,5,FFMA,0,1,2,4,""
170,ISSUE,0,6,FFMA,0,1,2,4,""
171,ISSUE,0,7,FFMA,0,1,2,4,""
171,COMPLETE,0,5,ALU,0,-1,-1,0,""
172,ISSUE,0,2,LD,1,3,None,4,""
172,COMPLETE,0,6,ALU,0,-1,-1,0,""
173,ISSUE,0,3,LD,1,3,None,4,""
173,COMPLETE,0,7,ALU,0,-1,-1,0,""
174,ISSUE,0,4,LD,1,3,None,4,""
175,ISSUE,0,5,LD,1,3,None,4,""
175,COMPLETE,0,2,ALU,0,-1,-1,0,""
176,ISSUE,0,6,LD,1,3,None,4,""
176,COMPLETE,0,3,ALU,0,-1,-1,0,""
177,ISSUE,0,7,LD,1,3,None,4,""
177,COMPLETE,0,4,ALU,0,-1,-1,0,""
178,ISSUE,0,2,LD,2,4,None,4,""
179,ISSUE,0,3,LD,2,4,None,4,""
180,ISSUE,0,4,LD,2,4,None,4,""
181,ISSUE,0,5,LD,2,4,None,4,""
182,ISSUE,0,6,LD,2,4,None,4,""
183,ISSUE,0,7,LD,2,4,None,4,""
184,ISSUE,0,2,FFMA,0,1,2,4,""
185,ISSUE,0,3,FFMA,0,1,2,4,""
186,ISSUE,0,4,FFMA,0,1,2,4,""
187,ISSUE,0,5,FFMA,0,1,2,4,""
188,ISSUE,0,6,FFMA,0,1,2,4,""
189,ISSUE,0,7,FFMA,0,1,2,4,""
189,COMPLETE,0,5,ALU,0,-1,-1,0,""
190,ISSUE,0,2,LD,1,3,None,4,""
190,COMPLETE,0,6,ALU,0,-1,-1,0,""
191,ISSUE,0,3,LD,1,3,None,4,""
191,COMPLETE,0,7,ALU,0,-1,-1,0,""
192,ISSUE,0,4,LD,1,3,None,4,""
193,ISSUE,0,5,LD,1,3,None,4,""
193,COMPLETE,0,2,ALU,0,-1,-1,0,""
194,ISSUE,0,6,LD,1,3,None,4,""
194,COMPLETE,0,3,ALU,0,-1,-1,0,""
195,ISSUE,0,7,LD,1,3,None,4,""
195,COMPLETE,0,4,ALU,0,-1,-1,0,""
196,ISSUE,0,2,LD,2,4,None,4,""
197,ISSUE,0,3,LD,2,4,None,4,""
198,ISSUE,0,4,LD,2,4,None,4,""
199,ISSUE,0,5,LD,2,4,None,4,""
200,ISSUE,0,6,LD,2,4,None,4,""
201,ISSUE,0,7,LD,2,4,None,4,""
202,ISSUE,0,2,FFMA,0,1,2,4,""
203,ISSUE,0,3,FFMA,0,1,2,4,""
204,ISSUE,0,4,FFMA,0,1,2,4,""
205,ISSUE,0,5,FFMA,0,1,2,4,""
206,ISSUE,0,6,FFMA,0,1,2,4,""
207,ISSUE,0,7,FFMA,0,1,2,4,""
207,COMPLETE,0,5,ALU,0,-1,-1,0,""
208,ISSUE,0,2,LD,1,3,None,4,""
208,COMPLETE,0,6,ALU,0,-1,-1,0,""
209,ISSUE,0,3,LD,1,3,None,4,""
209,COMPLETE,0,7,ALU,0,-1,-1,0,""
209,COMPLETE,0,0,LD,1,-1,-1,0,""
